"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.902703933E2	6.498340875E1	2.556377459E1	1.667807294E1	1.264000034E1	2.025000000E2	3.790092468E0	2.500000000E0
1.912705381E2	6.498330484E1	2.556367974E1	1.686939412E1	1.247999954E1	2.025000000E2	3.790092468E0	2.500000000E0
1.922700000E2	6.498319904E1	2.556358334E1	1.709214684E1	1.250000000E1	2.033000031E2	3.790092468E0	2.500000000E0
1.932698573E2	6.498309131E1	2.556349213E1	1.733308554E1	1.256000042E1	2.021000061E2	3.790092468E0	2.500000000E0
1.942701581E2	6.498298183E1	2.556340733E1	1.748655840E1	1.264000034E1	2.006000061E2	3.790092468E0	2.500000000E0
1.952705496E2	6.498287073E1	2.556332000E1	1.752919022E1	1.276000023E1	2.003000031E2	3.790092468E0	2.500000000E0
1.962700019E2	6.498276212E1	2.556323170E1	1.753117510E1	1.280000019E1	2.006999969E2	3.790092468E0	2.500000000E0
1.972698332E2	6.498265241E1	2.556313877E1	1.737013467E1	1.272999954E1	2.016999969E2	3.790092468E0	2.500000000E0
1.982703891E2	6.498254620E1	2.556304515E1	1.751256441E1	1.260000038E1	2.023000031E2	3.790092468E0	2.500000000E0
1.992706195E2	6.498243984E1	2.556294712E1	1.740664254E1	1.256999969E1	2.031000061E2	3.790092468E0	2.500000000E0
2.002701579E2	6.498233620E1	2.556284613E1	1.731897314E1	1.264999962E1	2.033000031E2	3.790092468E0	2.500000000E0
2.012699947E2	6.498222850E1	2.556274328E1	1.702658827E1	1.281000042E1	2.036000061E2	3.790092468E0	2.500000000E0
2.022702745E2	6.498212321E1	2.556263824E1	1.677607607E1	1.293000031E1	2.043000031E2	3.790092468E0	2.500000000E0
2.032701526E2	6.498201467E1	2.556253213E1	1.653123724E1	1.297000027E1	2.046999969E2	3.790092468E0	2.500000000E0
2.042707054E2	6.498190719E1	2.556242189E1	1.598537456E1	1.303999996E1	2.055000000E2	3.790092468E0	2.500000000E0
2.052699269E2	6.498179935E1	2.556231042E1	1.554968018E1	1.297000027E1	2.053000031E2	3.790092468E0	2.500000000E0
2.062705554E2	6.498169340E1	2.556220032E1	1.522378964E1	1.290999985E1	2.045000000E2	3.790092468E0	2.500000000E0
2.072701493E2	6.498158943E1	2.556209575E1	1.458863510E1	1.286999989E1	2.041000061E2	3.790092468E0	2.500000000E0
2.082704823E2	6.498148441E1	2.556198227E1	1.425395683E1	1.293000031E1	2.041999969E2	3.790092468E0	2.500000000E0
2.092698184E2	6.498137924E1	2.556187687E1	1.378878420E1	1.289999962E1	2.043000031E2	3.790092468E0	2.500000000E0
2.102701476E2	6.498127561E1	2.556176229E1	1.361969577E1	1.251000023E1	2.048999939E2	3.790092468E0	2.500000000E0
2.112700527E2	6.498118486E1	2.556165546E1	1.373363843E1	1.160999966E1	2.053999939E2	3.790092468E0	2.500000000E0
2.122707492E2	6.498110097E1	2.556156378E1	1.342937264E1	1.036999989E1	2.053000031E2	3.790092468E0	2.500000000E0
2.132700151E2	6.498102956E1	2.556148361E1	1.319408676E1	8.890000343E0	2.056000061E2	3.790092468E0	2.500000000E0
